Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;4500.0;112.0;2018.0;Gasolina;Manual;15900;Nissan Blendio Parayas
PEUGEOT;Partner;PEUGEOT Partner Furgon Confort PackL1 BlueHDI 88KW 120;100.0;120.0;2019.0;Diésel;Manual;15900;Automoviles Mabusa
RENAULT;Mégane;RENAULT Megane Limited TCe GPF 85 kW 115CV 5p.;5417.0;115.0;2020.0;Gasolina;Manual;15900;Auser Concept 3000
SEAT;Arona;SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.;16797.0;115.0;2019.0;Gasolina;Manual;15900;Vigilsa
OPEL;Crossland X;OPEL Crossland X 1.2 96kW 130CV Innovation SS 5p.;14367.0;130.0;2019.0;Gasolina;Manual;15900;Grupo Nieto Adame / Apremier Nieto Group (GNA/ANG)
NISSAN;JUKE;NISSAN JUKE dCi E6C 81 kW 110 CV 6MT ACENTA 5p.;15000.0;110.0;2018.0;Diésel;Manual;15900;AutoSelectia
FIAT;Tipo;FIAT Tipo 1.6 Lounge 88kW 120CV diesel Multijet 4p.;9100.0;120.0;2018.0;Diésel;Manual;15900;Autolíder Ocasión
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Essence 5p.;12.0;120.0;2019.0;Gasolina;Manual;15900;Hyundai Automóviles Nieto
FIAT;Tipo;FIAT Tipo 1.6 Mirror 88kW diesel Multijet DDCT 5P 5p.;18936.0;120.0;2019.0;Diésel;Automático;15900;Autiberia
SEAT;Arona;SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.;6500.0;115.0;2019.0;Gasolina;Manual;15900;Grup Jobacar
