Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Toyota,Corolla,2.0 Hybrid Feel!,23599,Híbrido,2019-01-01,13851.0,152,5,Automático,Blanco,Autohero.com
Subaru,Trezia,1.4 Diesel Limited ,9199,Diésel,2012-01-01,14432.0,90,5,Manual,Plata,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,10299,Gasolina,2017-01-01,14281.0,90,5,Manual,Blanco,Autohero.com
Volkswagen,Polo,1.0 TSI Advance,15299,Gasolina,2019-01-01,14521.0,95,5,Manual,Blanco,Autohero.com
Citroen,C 3,PureTech Shine,15999,Gasolina,2021-01-01,14858.0,110,5,Manual,Negro,Autohero.com
Peugeot,208,1.2 PureTech Active Pack,15199,Gasolina,2021-01-01,14859.0,75,5,Manual,Amarillo,Autohero.com
BMW,Serie 1,118i,23399,Gasolina,2019-01-01,14914.0,135,5,Automático,Blanco,Autohero.com
Toyota,Corolla,1.8 Hybrid Active Plus,23599,Híbrido,2022-01-01,15526.0,122,5,Automático,Azul,Autohero.com
Citroen,C-Elysée,1.2 PureTech Shine,11799,Gasolina,2019-01-01,15082.0,82,5,Manual,Negro,Autohero.com
Mercedes-Benz,Clase CLA,CLA 200,25099,Gasolina,2017-01-01,15702.0,155,5,Manual,Blanco,Autohero.com
Dacia,Duster,1.2 TCe Laureate 4x2,13899,Gasolina,2017-01-01,15774.0,125,5,Manual,Azul,Autohero.com
Hyundai,Tucson,1.6 T-GDI Hybrid Tekno Sky,34099,Híbrido,2021-01-01,15794.0,179,5,Automático,Negro,Autohero.com
Peugeot,208,1.2 PureTech Active,14599,Gasolina,2021-01-01,15856.0,75,5,Manual,Blanco,Autohero.com
Fiat,500X,1.3 Firefly Sport,24599,Gasolina,2022-01-01,16497.0,151,5,Automático,Gris,Autohero.com
Seat,Arona,1.6 TDI Style Edition,18599,Diésel,2019-01-01,16767.0,116,5,Manual,Blanco,Autohero.com
Fiat,Panda,1.0 Mild-Hybrid Sport,12899,Gasolina,2021-01-01,16974.0,70,5,Manual,Gris,Autohero.com
Citroen,C4 Cactus,1.2 PureTech Origins,15999,Gasolina,2020-01-01,17327.0,110,5,Manual,Blanco,Autohero.com
Renault,Twingo,0.9 TCe Energy Zen,12199,Gasolina,2019-01-01,17413.0,90,5,Manual,Blanco,Autohero.com
Kia,Sportage,1.6 GDI Drive 2WD,16099,Gasolina,2017-01-01,17497.0,132,5,Manual,Blanco,Autohero.com
Hyundai,i30,1.5 T-GDI Mild-Hybrid N Line,20199,Gasolina,2020-01-01,17557.0,159,5,Manual,Rojo,Autohero.com
Ford,Puma,1.0 EcoBoost Mild-Hybrid Titanium Design,21999,Híbrido,2022-01-01,17566.0,125,5,Manual,Blanco,Autohero.com
Kia,cee'd,1.6 CRDi Mild-Hybrid diesel GT Line,23899,Híbrido,2021-01-01,17858.0,136,5,Automático,Negro,Autohero.com
Fiat,Tipo,1.4 Lounge,11899,Gasolina,2018-01-01,17864.0,95,5,Manual,Gris,Autohero.com
