Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Peugeot,308,1.2 PureTech Style,17999,Gasolina,2019-01-01,34431.0,131,5,Automático,Gris,Autohero.com
Citroen,C4 Grand Picasso,1.2 PureTech Feel,17699,Gasolina,2017-01-01,34486.0,130,5,Manual,Gris,Autohero.com
Fiat,500,1.2 Lounge,10899,Gasolina,2018-01-01,34905.0,70,3,Manual,Gris,Autohero.com
BMW,Serie 5,520d Luxury Line,34999,Diésel,2019-01-01,35041.0,190,5,Automático,Gris,Autohero.com
Ford,Focus,1.0 EcoBoost Edition,9799,Gasolina,2013-01-01,35163.0,125,5,Manual,Negro,Autohero.com
BMW,Serie 3,318d Mild-Hybrid,34999,Diésel,2021-01-01,35170.0,150,5,Automático,Blanco,Autohero.com
Peugeot,2008,1.2 PureTech Allure,19699,Gasolina,2020-01-01,35239.0,101,5,Manual,Blanco,Autohero.com
Dacia,Duster II,1.6 Essential 4x2,15599,Gasolina,2019-01-01,35571.0,115,5,Manual,Naranja,Autohero.com
Skoda,Kamiq,1.0 TSI Ambition,18999,Gasolina,2021-01-01,35614.0,110,5,Manual,Blanco,Autohero.com
Kia,pro_cee'd,1.0 TGDI GT Line,21799,Gasolina,2019-01-01,35672.0,140,5,Manual,Gris,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,10499,Gasolina,2016-01-01,35706.0,90,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.5 Hybrid Active ,17999,Híbrido,2020-01-01,36032.0,75,5,Automático,Rojo,Autohero.com
Opel,Combo Life,1.2 Turbo Selective L,18999,Gasolina,2019-01-01,36035.0,110,5,Manual,Gris,Autohero.com
Fiat,Doblò,1.3 M-Jet Base,12099,Diésel,2018-01-01,36107.0,95,3,Manual,Blanco,Autohero.com
Audi,Q3 Sportback,35 TDI advanced,36499,Diésel,2021-01-01,36336.0,150,5,Automático,Negro,Autohero.com
Toyota,AYGO,1.0 City,8099,Gasolina,2013-01-01,36622.0,68,5,Manual,Blanco,Autohero.com
Mazda,CX 5,2.0 Evolution 2WD,23899,Gasolina,2018-01-01,36677.0,165,5,Automático,Gris,Autohero.com
Seat,León,1.5 TSI FR Edition,20299,Gasolina,2019-01-01,37000.0,150,5,Automático,Rojo,Autohero.com
Ford,Ka+,1.2 Ti-VCT Ultimate,10399,Gasolina,2017-01-01,37025.0,85,5,Manual,Plata,Autohero.com
Audi,A1,30 TFSI Sportback,18099,Gasolina,2019-01-01,37215.0,116,5,Manual,Rojo,Autohero.com
Ford,Kuga,2.0 TDCi Titanium,16999,Diésel,2016-01-01,37398.0,120,5,Manual,Gris,Autohero.com
Peugeot,308,1.2 PureTech Style,15699,Gasolina,2019-01-01,37466.0,130,5,Manual,Blanco,Autohero.com
Nissan,Juke,DIGT N-Connecta,19699,Gasolina,2020-01-01,37487.0,117,5,Automático,Gris,Autohero.com
Peugeot,208,1.2 PureTech Active,15799,Gasolina,2020-01-01,37553.0,101,5,Manual,Amarillo,Autohero.com
Seat,Ibiza,1.0 TSI Style Connect,11499,Gasolina,2017-01-01,37771.0,95,5,Manual,Plata,Autohero.com
Volkswagen,T-Cross,1.0 TSI Edition,18799,Gasolina,2020-01-01,37710.0,95,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.0 Reference Plus,10099,Gasolina,2016-01-01,37797.0,75,5,Manual,Rojo,Autohero.com
Dacia,Duster II,1.3 TCe SL Xplore 4x4,19199,Gasolina,2019-01-01,38032.0,150,3,Manual,Gris,Autohero.com
Opel,Combo Life,1.2 Turbo Selective L,18999,Gasolina,2019-01-01,36035.0,110,3,Manual,Gris,Autohero.com
Ford,Kuga,2.0 TDCi Titanium,16999,Diésel,2016-01-01,37398.0,120,3,Manual,Gris,Autohero.com
Seat,Ibiza,1.0 TSI FR,16199,Gasolina,2019-01-01,38153.0,116,5,Manual,Blanco,Autohero.com
Toyota,RAV 4,2.5 Hybrid Advance ,30499,Híbrido,2019-01-01,38051.0,197,5,Automático,Rojo,Autohero.com
Skoda,Fabia,1.0 TSI Ambition,12799,Gasolina,2020-01-01,38472.0,95,5,Manual,Rojo,Autohero.com
Mitsubishi,Space Star,1.2 Motion,9299,Gasolina,2015-01-01,38550.0,80,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.5 Hybrid GR Sport,17899,Híbrido,2019-01-01,38605.0,101,5,Automático,Blanco,Autohero.com
Volvo,XC 40,1.5 T3 Momentum 2WD,28199,Gasolina,2019-01-01,38803.0,163,5,Manual,Negro,Autohero.com
Citroen,C4 Cactus,1.2 PureTech Feel,14099,Gasolina,2019-01-01,39060.0,110,5,Manual,Gris,Autohero.com
Kia,Stonic,1.0 TGDI Drive,15099,Gasolina,2018-01-01,39052.0,101,5,Manual,Blanco,Autohero.com
Ford,Ka+,1.2 Ti-VCT Active,11699,Gasolina,2019-01-01,39076.0,86,5,Manual,Negro,Autohero.com
Toyota,Yaris,1.33 Dual VVT-i Active,11599,Gasolina,2016-01-01,39446.0,100,3,Manual,Rojo,Autohero.com
Dacia,Duster,1.5 dCi Laureate 4x2,10899,Diésel,2014-01-01,39611.0,110,5,Manual,Gris,Autohero.com
Toyota,Yaris,1.5 Hybrid Feel,15299,Híbrido,2019-01-01,40035.0,75,5,Automático,Blanco,Autohero.com
Peugeot,508,1.6 PureTech Allure,23499,Gasolina,2019-01-01,40036.0,181,5,Automático,Rojo,Autohero.com
Seat,Ibiza,1.0 TSI Style,12399,Gasolina,2018-01-01,40100.0,95,5,Manual,Rojo,Autohero.com
Hyundai,i10,1.2 Tecno Edition,11299,Gasolina,2019-01-01,40132.0,87,5,Manual,Rojo,Autohero.com
Ssangyong,Tivoli,1.6 Limited 4x2,14699,Gasolina,2018-01-01,40154.0,128,5,Manual,Blanco,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,9599,Gasolina,2016-01-01,40171.0,90,5,Manual,Blanco,Autohero.com
Dacia,Sandero II,0.9 TCe SL Nomada,11699,Gasolina,2018-01-01,40172.0,90,5,Manual,Blanco,Autohero.com
BMW,Serie 1,116d,18299,Diésel,2018-01-01,40307.0,115,5,Manual,Azul,Autohero.com
Citroen,Berlingo,1.5 Blue-HDi Feel M,20099,Diésel,2020-01-01,40343.0,102,5,Manual,Negro,Autohero.com
Volvo,V40,2.0 T3 R-Design Momentum,21199,Gasolina,2019-01-01,40548.0,152,5,Manual,Azul,Autohero.com
Toyota,Auris Touring Sports,1.8 Hybrid Active,16899,Híbrido,2018-01-01,40576.0,100,5,Automático,Blanco,Autohero.com
Hyundai,i20,1.2 Essence,11399,Gasolina,2019-01-01,40724.0,75,5,Manual,Azul,Autohero.com
Nissan,Micra,1.0 IG-T Moonlight,13699,Gasolina,2020-01-01,40733.0,101,5,Manual,Rojo,Autohero.com
Mercedes-Benz,Clase B,B 200 AMG Line,28899,Gasolina,2019-01-01,40896.0,163,5,Automático,Azul,Autohero.com
Volkswagen,Polo,1.0 TSI Advance,14999,Gasolina,2019-01-01,40921.0,95,5,Manual,Negro,Autohero.com
Renault,Clio,0.9 Energy Zen,12899,Gasolina,2019-01-01,40939.0,90,5,Manual,Rojo,Autohero.com
Toyota,Yaris,1.5 Hybrid Advance,15499,Híbrido,2018-01-01,41059.0,101,3,Automático,Gris,Autohero.com
Ford,Ecosport,1.5 Ti-VCT Titanium,12999,Gasolina,2017-01-01,41115.0,110,3,Manual,Gris,Autohero.com
Dacia,Dokker,1.6 Essential,13999,Gasolina,2019-01-01,41250.0,102,5,Manual,Azul,Autohero.com
Audi,Q3,35 TFSI S Line,33699,Gasolina,2019-01-01,41278.0,150,5,Automático,Gris,Autohero.com
Peugeot,3008,1.5 Blue-HDi Active,20799,Diésel,2019-01-01,41327.0,130,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.5 Hybrid Active,15199,Híbrido,2019-01-01,41461.0,75,5,Automático,Blanco,Autohero.com
Toyota,Yaris,1.5 Hybrid GR Sport,17399,Híbrido,2020-01-01,41492.0,101,5,Automático,Rojo,Autohero.com
Ford,Ka,1.2 Titanium,7399,Gasolina,2015-01-01,41515.0,70,5,Manual,Rojo,Autohero.com
Ford,B-Max,1.5 TDCi Trend,11399,Diésel,2017-01-01,41653.0,95,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.0 MPI Style,11699,Gasolina,2018-01-01,41714.0,80,5,Manual,Blanco,Autohero.com
Ford,Ecosport,1.5 Ti-VCT Titanium,12999,Gasolina,2017-01-01,41115.0,110,5,Manual,Gris,Autohero.com
Ford,Ka,1.2 Titanium,7399,Gasolina,2015-01-01,41515.0,70,3,Manual,Rojo,Autohero.com
Citroen,C4 Cactus,1.6 Blue-HDi Shine,14899,Diésel,2019-01-01,41849.0,100,5,Manual,Rojo,Autohero.com
Kia,Stonic,1.0 TGDI Drive,14999,Gasolina,2017-01-01,41874.0,120,5,Manual,Azul,Autohero.com
Lexus,CT-Serie,CT 200h Eco,20199,Híbrido,2019-01-01,41879.0,100,5,Automático,Rojo,Autohero.com
Renault,Kadjar,1.2 TCe S-Edition,17999,Gasolina,2018-01-01,41901.0,131,5,Manual,Blanco,Autohero.com
Toyota,AYGO,1.0 X-Cite,9699,Gasolina,2016-01-01,41929.0,70,5,Manual,Azul,Autohero.com
Opel,Mokka X,1.4 Selective,15999,Gasolina,2019-01-01,42110.0,140,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.0 TSI Ambition,11799,Gasolina,2018-01-01,42127.0,95,5,Manual,Blanco,Autohero.com
Nissan,Micra,1.0 IG-T Energy Touch,13699,Gasolina,2019-01-01,42132.0,101,5,Manual,Blanco,Autohero.com
Renault,Grand Scenic,1.3 TCe Zen Energy,17999,Gasolina,2018-01-01,42171.0,140,5,Manual,Gris,Autohero.com
Jeep,Compass,1.4 M-Air Night Eagle 4x2,21799,Gasolina,2019-01-01,42337.0,140,5,Manual,Blanco,Autohero.com
Subaru,XV,1.6 Sport Plus AWD,20699,Gasolina,2020-01-01,42359.0,115,5,Automático,Azul,Autohero.com
Dacia,Duster II,1.6 SCe Access,12799,Gasolina,2018-01-01,42410.0,115,5,Manual,Azul,Autohero.com
BMW,Serie 1,118d,22099,Diésel,2018-01-01,42567.0,150,5,Automático,Negro,Autohero.com
Audi,Q3,35 TFSI Advanced Mild-Hybrid,33699,Gasolina,2021-01-01,42581.0,150,5,Automático,Gris,Autohero.com
Kia,Rio,1.2 Concept,11899,Gasolina,2018-01-01,42615.0,85,5,Manual,Negro,Autohero.com
Volkswagen,Polo,1.0 Edition,13299,Gasolina,2019-01-01,42687.0,80,5,Manual,Azul,Autohero.com
Peugeot,2008,1.2 PureTech Allure,16199,Gasolina,2019-01-01,42849.0,110,5,Automático,Blanco,Autohero.com
Dacia,Sandero II,1.0 SCe Essential,9799,Gasolina,2019-01-01,42890.0,73,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.0 MPI Ambition,11799,Gasolina,2019-01-01,42918.0,75,5,Manual,Gris,Autohero.com
Citroen,C 3,1.2 PureTech Feel,12999,Gasolina,2019-01-01,43050.0,82,5,Manual,Blanco,Autohero.com
Land,Rover Evoque,2.2 Sd4 Dynamic,21399,Diésel,2013-01-01,43152.0,190,5,Automático,Blanco,Autohero.com
Toyota,Yaris,1.5 Dual VVT-iE Active,12999,Gasolina,2019-01-01,43235.0,111,5,Manual,Gris,Autohero.com
Renault,Captur,1.5 dCi Energy Intens,14299,Diésel,2018-01-01,43318.0,90,5,Manual,Beige,Autohero.com
Skoda,Fabia,1.0 MPI Like,11799,Gasolina,2019-01-01,43326.0,75,5,Manual,Blanco,Autohero.com
Renault,Captur,0.9 Energy Intens,11799,Gasolina,2014-01-01,43488.0,90,5,Manual,Naranja,Autohero.com
Citroen,C4 Grand Spacetourer,1.6 PureTech Shine,23799,Gasolina,2019-01-01,43492.0,181,5,Automático,Negro,Autohero.com
DS,Automobiles DS7 Crossback,1.6 PureTech Performance Line,28499,Gasolina,2019-01-01,43493.0,181,5,Automático,Blanco,Autohero.com
Hyundai,Bayon,1.0 T-GDI Mild-Hybrid Maxx 2WD,17499,Gasolina,2021-01-01,43549.0,101,5,Manual,Blanco,Autohero.com
Opel,Crossland X,1.6 CDTI DPF Excellence,15499,Diésel,2018-01-01,43637.0,120,5,Manual,Blanco,Autohero.com
Kia,Picanto,1.0 X-Tech,8999,Gasolina,2015-01-01,43688.0,65,5,Manual,Blanco,Autohero.com
Hyundai,ix20,1.4 Klass Bluedrive,9899,Gasolina,2016-01-01,43724.0,90,5,Manual,Blanco,Autohero.com
BMW,Serie 1,120d xDrive M Sport,33699,Diésel,2020-01-01,44021.0,190,5,Automático,Rojo,Autohero.com
Peugeot,208,1.2 PureTech Style,10399,Gasolina,2016-01-01,44203.0,82,5,Manual,Gris,Autohero.com
Peugeot,5008,1.2 PureTech Allure,22599,Gasolina,2018-01-01,44241.0,130,5,Manual,Blanco,Autohero.com
BMW,Serie 1,116d,20999,Diésel,2019-01-01,44333.0,115,5,Automático,Blanco,Autohero.com
Mitsubishi,ASX,1.6 Motion 2WD,15999,Gasolina,2019-01-01,44456.0,117,5,Manual,Azul,Autohero.com
Citroen,C 3,1.2 PureTech Feel,13399,Gasolina,2019-01-01,44461.0,110,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.2 TSI FR Crono,11699,Gasolina,2016-01-01,44485.0,90,5,Manual,Azul,Autohero.com
Renault,Clio,0.9 TCe Zen Energy,11599,Gasolina,2017-01-01,44683.0,90,5,Manual,Blanco,Autohero.com
Citroen,C 3,1.6 Blue-HDi Feel,12699,Diésel,2018-01-01,44690.0,75,5,Manual,Azul,Autohero.com
Seat,Tarraco,2.0 TDI Xcellence Plus 4Drive,32999,Diésel,2019-01-01,44929.0,190,5,Automático,Azul,Autohero.com
Peugeot,3008,1.2 PureTech Allure,19999,Gasolina,2017-01-01,45020.0,130,5,Manual,Blanco,Autohero.com
Toyota,AYGO,1.0 X-Play,9299,Gasolina,2017-01-01,45155.0,70,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.2 TSI Ambition,12499,Gasolina,2017-01-01,45380.0,110,5,Automático,Blanco,Autohero.com
Kia,pro_cee'd,1.4 Concept,10099,Gasolina,2015-01-01,45416.0,100,3,Manual,Negro,Autohero.com
Seat,Arona,1.6 TDI CR Xcellence,16799,Diésel,2018-01-01,45419.0,115,5,Manual,Blanco,Autohero.com
Lancia,Ypsilon,1.2 Gold,6999,Gasolina,2013-01-01,45567.0,70,5,Manual,Blanco,Autohero.com
Peugeot,508,2.0 Blue-HDi First Edition,25799,Diésel,2018-01-01,45633.0,177,5,Automático,Rojo,Autohero.com
Mercedes-Benz,Clase C,220d AMG Line,32399,Diésel,2019-01-01,45765.0,194,3,Automático,Blanco,Autohero.com
Smart,ForTwo,1.0 Micro Hybrid Drive passion,7999,Gasolina,2012-01-01,45788.0,70,3,Automático,Azul,Autohero.com
Citroen,Berlingo,1.5 Blue-HDi Shine M,23199,Diésel,2020-01-01,45872.0,102,5,Manual,Gris,Autohero.com
Peugeot,3008,1.2 PureTech Allure,21699,Gasolina,2019-01-01,45881.0,130,5,Manual,Rojo,Autohero.com
Citroen,C 3,1.2 VTi Shine,12799,Gasolina,2018-01-01,45913.0,82,5,Manual,Verde,Autohero.com
Skoda,Fabia,1.0 TSI Like,11199,Gasolina,2018-01-01,45963.0,95,5,Manual,Blanco,Autohero.com
Lexus,CT-Serie,CT 200h Business,19699,Híbrido,2019-01-01,45983.0,100,5,Automático,Azul,Autohero.com
Audi,Q3,35 TDI,31199,Diésel,2019-01-01,46099.0,150,5,Automático,Negro,Autohero.com
Mazda,CX 5,2.0 Evolution 2WD,23699,Gasolina,2018-01-01,46244.0,165,5,Automático,Rojo,Autohero.com
Renault,Clio,0.9 Energy Limited,10999,Gasolina,2016-01-01,46251.0,90,5,Manual,Gris,Autohero.com
Renault,Captur,1.5 dCi Energy Intens,13999,Diésel,2018-01-01,46305.0,90,5,Manual,Gris,Autohero.com
Mercedes-Benz,Clase C,C 200 Mild-Hybrid,28099,Gasolina,2019-01-01,46362.0,184,5,Automático,Blanco,Autohero.com
Skoda,Karoq,2.0 TDI Sportline,28399,Diésel,2021-01-01,46488.0,150,5,Manual,Negro,Autohero.com
Opel,Mokka X,1.4 Edition,15699,Gasolina,2019-01-01,46687.0,140,5,Manual,Gris,Autohero.com
Seat,Mii,1.0 Style,6499,Gasolina,2012-01-01,46958.0,75,3,Manual,Rojo,Autohero.com
Kia,Stonic,1.0 TGDI Concept,15999,Gasolina,2019-01-01,47127.0,101,5,Manual,Negro,Autohero.com
Hyundai,Tucson,1.6 SLE 2WD,18999,Gasolina,2019-01-01,47134.0,132,5,Manual,Rojo,Autohero.com
Renault,Captur,1.5 dCi Energy Zen,16299,Diésel,2019-01-01,47263.0,90,5,Automático,Beige,Autohero.com
Citroen,Berlingo,Talla XL PureTech Shine ,22299,Gasolina,2019-01-01,47368.0,110,5,Manual,Negro,Autohero.com
Peugeot,208,1.2 PureTech Style,10599,Gasolina,2018-01-01,47451.0,82,5,Manual,Gris,Autohero.com
Volkswagen,Polo,1.2 TSI Sport BMT,11799,Gasolina,2014-01-01,47579.0,90,5,Manual,Azul,Autohero.com
Citroen,C4 Spacetourer,1.2 PureTech Feel,16399,Gasolina,2018-01-01,47638.0,131,5,Manual,Blanco,Autohero.com
Suzuki,Swift,1.0 GLX SHVS Mild-Hybrid,14799,Gasolina,2018-01-01,47708.0,110,5,Manual,Azul,Autohero.com
Opel,Corsa,1.4 120 Aniversario,11699,Gasolina,2019-01-01,47831.0,90,5,Manual,Gris,Autohero.com
Kia,Stonic,1.0 TGDI Drive,16199,Gasolina,2020-01-01,47848.0,101,5,Manual,Amarillo,Autohero.com
Opel,Mokka X,1.4 Turbo Color Edition Start/Stop 4x2,14499,Gasolina,2018-01-01,47867.0,140,5,Manual,Blanco,Autohero.com
Smart,ForTwo,0.9 Turbo Passion,12199,Gasolina,2016-01-01,47898.0,90,3,Automático,Blanco,Autohero.com
Seat,León,1.0 EcoTSI Style,17399,Gasolina,2020-01-01,47954.0,115,5,Manual,Azul,Autohero.com
Mercedes-Benz,Clase GLA,GLA 180,24799,Gasolina,2019-01-01,48078.0,122,5,Automático,Negro,Autohero.com
Ford,Fiesta,1.1 Ti-VCT Limited Edition,12899,Gasolina,2020-01-01,48128.0,75,5,Manual,Blanco,Autohero.com
Skoda,Karoq,1.0 TSI Ambition,18399,Gasolina,2018-01-01,48321.0,115,5,Manual,Gris,Autohero.com
Peugeot,5008,1.6 THP GT Line,26999,Gasolina,2018-01-01,48507.0,165,5,Automático,Azul,Autohero.com
Volkswagen,Polo,1.0 TSI Sport,19099,Gasolina,2019-01-01,48608.0,115,5,Automático,Negro,Autohero.com
Citroen,DS3,1.6 HDi Graphic Art,9299,Diésel,2012-01-01,48616.0,92,3,Manual,Gris,Autohero.com
Audi,A3,1.8 TFSI Ambition,12499,Gasolina,2012-01-01,48937.0,160,5,Manual,Blanco,Autohero.com
Renault,Megane,1.5 dCi Energy Limited,11199,Diésel,2015-01-01,48999.0,110,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.0 TSI Reference,12299,Gasolina,2019-01-01,49093.0,95,5,Manual,Azul,Autohero.com
Seat,Ibiza,1.0 TSI Reference,12399,Gasolina,2019-01-01,39274.0,95,5,Manual,Blanco,Autohero.com
Kia,Sportage,1.6 Drive,17899,Gasolina,2019-01-01,49152.0,132,5,Manual,Blanco,Autohero.com
Smart,ForTwo,1.0 52 mhd Passion,7799,Gasolina,2014-01-01,49291.0,70,3,Automático,Negro,Autohero.com
Renault,Clio,1.2 Authentique,9399,Gasolina,2015-01-01,49407.0,73,5,Manual,Rojo,Autohero.com
Kia,Sportage,1.6 Emotion 2WD,18099,Gasolina,2019-01-01,49445.0,132,5,Manual,Rojo,Autohero.com
Hyundai,i30,1.6 CRDi Klass,16599,Diésel,2019-01-01,49503.0,116,5,Manual,Rojo,Autohero.com
Peugeot,208,1.2 PureTech Allure,15999,Gasolina,2020-01-01,49563.0,101,5,Manual,Amarillo,Autohero.com
Ford,Focus,1.5 EcoBlue ST-Line,20199,Diésel,2020-01-01,49741.0,120,5,Manual,Blanco,Autohero.com
Hyundai,i20,1.2 Klass,10799,Gasolina,2018-01-01,49805.0,85,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.2 TSI Reference Plus,10899,Gasolina,2017-01-01,50131.0,90,5,Manual,Rojo,Autohero.com
Audi,Q3,2.0 TDI Sport,24899,Diésel,2018-01-01,50204.0,150,5,Manual,Blanco,Autohero.com
Mazda,CX 5,2.5 Zenith Safety White,27199,Gasolina,2020-01-01,50208.0,194,5,Automático,Gris,Autohero.com
BMW,Serie 1,116d,23699,Diésel,2020-01-01,50339.0,116,5,Manual,Rojo,Autohero.com
Volkswagen,Polo,1.2 TSI Advance BlueMotion,11999,Gasolina,2016-01-01,50459.0,90,5,Manual,Rojo,Autohero.com
Opel,Astra,1.6 CDTI 120 Aniversario,15799,Diésel,2019-01-01,50516.0,110,5,Manual,Negro,Autohero.com
Mercedes-Benz,Clase GLA,GLA 200 d Urban,25799,Diésel,2019-01-01,50655.0,135,5,Automático,Rojo,Autohero.com
Citroen,C 3,1.2 PureTech Tonic,8999,Gasolina,2017-01-01,50664.0,82,5,Manual,Blanco,Autohero.com
Toyota,RAV 4,2.5 Hybrid 4x2 Business Edition,29999,Híbrido,2019-01-01,50820.0,177,5,Automático,Blanco,Autohero.com
Kia,cee'd,1.0 TGDI Tech,15499,Gasolina,2019-01-01,50995.0,120,5,Manual,Blanco,Autohero.com
Ford,Tourneo Courier,1.0 Titanium,13299,Gasolina,2017-01-01,51088.0,100,5,Manual,Blanco,Autohero.com
Renault,Kadjar,1.6 dCi Energy Zen,15799,Diésel,2016-01-01,51230.0,130,5,Manual,Rojo,Autohero.com
Ford,Fiesta,1.1 Trend,11399,Gasolina,2018-01-01,51324.0,85,5,Manual,Gris,Autohero.com
Volkswagen,Polo,1.0 TSI Advance,16599,Gasolina,2020-01-01,51474.0,95,5,Automático,Naranja,Autohero.com
Mitsubishi,ASX,1.6 DI-D Motion 2WD,16899,Diésel,2018-01-01,51485.0,115,5,Manual,Blanco,Autohero.com
Subaru,Outback,2.5 Executive Plus,21199,Gasolina,2017-01-01,51727.0,175,5,Automático,Gris,Autohero.com
Peugeot,2008,1.2 PureTech Allure,12099,Gasolina,2015-01-01,51829.0,110,5,Manual,Naranja,Autohero.com
Nissan,Qashqai,1.6 dCi N-Connecta 4x2,16799,Diésel,2016-01-01,51851.0,130,5,Automático,Blanco,Autohero.com
Toyota,Auris,1.8 Hybrid Advance,15999,Híbrido,2018-01-01,51925.0,100,5,Automático,Blanco,Autohero.com
Ford,Ka+,1.2 Ti-VCT White Edition,10999,Gasolina,2019-01-01,52455.0,86,5,Manual,Gris,Autohero.com
Dacia,Sandero II,1.0 TCe Stepway,13499,Gasolina,2020-01-01,52851.0,101,5,Manual,Blanco,Autohero.com
Peugeot,3008,2.0 Blue-HDi GT Line,23799,Diésel,2018-01-01,52948.0,150,5,Manual,Rojo,Autohero.com
Mercedes-Benz,Clase GLA,GLA 200 d,27999,Diésel,2019-01-01,52959.0,135,5,Automático,Blanco,Autohero.com
Mercedes-Benz,Clase C,C 200 d,32799,Diésel,2020-01-01,53078.0,160,5,Automático,Plata,Autohero.com
Abarth,595C,1.4 Turismo,20399,Gasolina,2019-01-01,53087.0,160,3,Manual,Blanco,Autohero.com
Hyundai,Kona,1.0 T-GDI Maxx 2WD,16499,Gasolina,2020-01-01,53186.0,120,5,Manual,Blanco,Autohero.com
Toyota,C-HR,1.8 Hybrid Advance,20999,Híbrido,2019-01-01,53198.0,98,5,Automático,Blanco,Autohero.com
Fiat,500X,1.0 City Cross,15599,Gasolina,2018-01-01,53271.0,120,5,Manual,Blanco,Autohero.com
Suzuki,Jimny,1.3 JLX,13599,Gasolina,2012-01-01,53278.0,85,3,Manual,Rojo,Autohero.com
Volkswagen,Golf VII,1.0 TSI Ready2Go,15899,Gasolina,2018-01-01,53279.0,116,5,Manual,Blanco,Autohero.com
Dacia,Sandero II,1.5 dCi Ambiance,6899,Diésel,2013-01-01,53391.0,75,5,Manual,Blanco,Autohero.com
Honda,Jazz,1.3 i-VTEC Comfort,14399,Gasolina,2018-01-01,53414.0,102,5,Automático,Rojo,Autohero.com
Renault,Clio,1.5 dCi Energy Zen,12899,Diésel,2018-01-01,54069.0,90,5,Manual,Negro,Autohero.com
Peugeot,Rifter,PureTech Allure Standard ,24099,Gasolina,2019-01-01,54660.0,131,5,Automático,Gris,Autohero.com
Opel,Mokka X,1.4 Turbo Innovation,17499,Gasolina,2019-01-01,54733.0,140,5,Automático,Blanco,Autohero.com
Volkswagen,Arteon,1.5 TSI R-Line,27699,Gasolina,2019-01-01,54741.0,150,5,Automático,Blanco,Autohero.com
Mitsubishi,Outlander,2.0 Motion 2WD,21899,Gasolina,2019-01-01,54886.0,150,5,Automático,Negro,Autohero.com
Renault,Kadjar,1.5 dCi Energy Tech Road,16899,Diésel,2017-01-01,54971.0,110,5,Manual,Negro,Autohero.com
Renault,Kadjar,1.2 TCe Energy Zen,17299,Gasolina,2017-01-01,55002.0,130,5,Automático,Blanco,Autohero.com
Seat,León,1.5 ST EcoTSI FR,19399,Gasolina,2019-01-01,55164.0,150,5,Automático,Morado,Autohero.com
Mercedes-Benz,Clase A,A 180 CDI AMG,19399,Diésel,2015-01-01,55212.0,110,5,Automático,Blanco,Autohero.com
Dacia,Dokker,1.6 Essential,12699,Gasolina,2019-01-01,55246.0,102,5,Manual,Blanco,Autohero.com
Renault,Clio,0.9 Energy Limited,10999,Gasolina,2017-01-01,55252.0,90,5,Manual,Plata,Autohero.com
Fiat,500L,1.4 Pop Star,10799,Gasolina,2016-01-01,55416.0,95,5,Manual,Rojo,Autohero.com
Dacia,Duster II,1.5 dCi Prestige,14899,Diésel,2018-01-01,55533.0,110,5,Manual,Naranja,Autohero.com
Peugeot,2008,1.2 PureTech Allure,15999,Gasolina,2018-01-01,55576.0,130,5,Manual,Blanco,Autohero.com
Seat,León,1.5 TSI ACT Style Visio Edition,17199,Gasolina,2020-01-01,55653.0,131,5,Manual,Rojo,Autohero.com
Skoda,Fabia,1.0 MPI Ambition,9799,Gasolina,2016-01-01,55700.0,75,5,Manual,Azul,Autohero.com
Peugeot,3008,1.5 Blue-HDi Allure,21499,Diésel,2018-01-01,55872.0,130,5,Manual,Gris,Autohero.com
Citroen,C4 Cactus,1.6 Blue-HDi Feel,12599,Diésel,2017-01-01,56056.0,100,5,Manual,Rojo,Autohero.com
Seat,Ibiza,1.0 TSI Style Plus,13599,Gasolina,2019-01-01,56147.0,95,5,Manual,Blanco,Autohero.com
Fiat,500,1.2 Lounge,8499,Gasolina,2015-01-01,56253.0,70,3,Manual,Blanco,Autohero.com
Peugeot,Partner,1.6 Blue-HDi Active TEPEE,16199,Diésel,2017-01-01,56372.0,100,5,Manual,Gris,Autohero.com
Jeep,Renegade,1.6 Sport FWD,13099,Gasolina,2017-01-01,56535.0,110,5,Manual,Rojo,Autohero.com
Hyundai,i10,1.0 Tecno,9499,Gasolina,2019-01-01,56685.0,67,5,Manual,Blanco,Autohero.com
Toyota,Auris,1.8 Hybrid Business Plus,16199,Híbrido,2017-01-01,56745.0,99,5,Automático,Rojo,Autohero.com
Seat,Alhambra,2.0 TDI Style ,22499,Diésel,2017-01-01,56896.0,150,5,Manual,Negro,Autohero.com
Citroen,C 3,1.2 VTi Collection,8299,Gasolina,2013-01-01,56966.0,82,5,Manual,Blanco,Autohero.com
Mercedes-Benz,Clase CLA,CLA 200 AMG Line,33999,Gasolina,2019-01-01,57407.0,163,5,Automático,Blanco,Autohero.com
