Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Jeep Renegade, ","Jeep Renegade, ",1.3 T4 4xe Plug-In-Hybrid Limited,27.199 €,Híbrido,06.2021,10.479 km,190 CV / 140 kW,5,Cambio tipo automático,Negro
"Seat Ibiza, ","Seat Ibiza, ",1.5 TSI ACT FR,23.499 €,Gasolina,11.2021,10.594 km,150 CV / 110 kW,5,Cambio tipo automático,Rojo
"Fiat 500, ","Fiat 500, ",1.2 Lounge,,Gasolina,08.2018,10.645 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active,15.099 €,Gasolina,03.2020,10.708 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Hyundai Kona, ","Hyundai Kona, ",1.6 Hybrid Klass,22.599 €,Híbrido,03.2021,10.659 km,105 CV / 77 kW,5,Cambio tipo automático,Gris
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 CRDi Klass ,23.999 €,Diésel,03.2021,10.874 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Kia cee'd, ","Kia cee'd, ",1.6 TGDI GT,26.999 €,Gasolina,08.2021,10.958 km,204 CV / 150 kW,5,Cambio tipo automático,Blanco
"Nissan Micra, ","Nissan Micra, ",0.9 Turbo Business,13.599 €,Gasolina,02.2018,10.978 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Mitsubishi Space Star, ","Mitsubishi Space Star, ",1.2 Motion,,Gasolina,04.2022,11.002 km,71 CV / 52 kW,5,Cambio tipo manual,Amarillo
"Ford Fiesta, ","Ford Fiesta, ",1.0 EcoBoost Mild-Hybrid ST-Line,,Gasolina,02.2021,11.301 km,155 CV / 114 kW,5,Cambio tipo manual,Rojo
"Kia Picanto, ","Kia Picanto, ",1.0 GT Line,,Gasolina,05.2019,11.332 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"Mazda 2, ","Mazda 2, ",1.5 Mild-Hybrid Black Tech Edition,16.499 €,Gasolina,02.2020,11.371 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Volvo XC 40, ","Volvo XC 40, ",1.5 T3 Momentum Pro 2WD,33.099 €,Gasolina,02.2020,11.494 km,163 CV / 120 kW,5,Cambio tipo automático,Blanco
"BMW Serie 2, ","BMW Serie 2, ",218d Gran Coupe,,Diésel,09.2021,11.709 km,150 CV / 110 kW,4,Cambio tipo automático,Rojo
"Renault Clio, ","Renault Clio, ",1.0 TCe Zen,16.099 €,Gasolina,09.2020,11.665 km,101 CV / 74 kW,5,Cambio tipo manual,Gris
"Ford Transit Connect, ","Ford Transit Connect, ",1.5 Kombi Trend,20.099 €,Diésel,10.2020,12.040 km,101 CV / 74 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.2 TSI Reference,13.499 €,Gasolina,07.2017,11.942 km,110 CV / 81 kW,5,Cambio tipo manual,Azul
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway,10.499 €,Gasolina,01.2017,12.444 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Ford Ecosport, ","Ford Ecosport, ",1.0 EcoBoost Titanium,18.099 €,Gasolina,03.2021,12.566 km,125 CV / 92 kW,5,Cambio tipo manual,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway Essential,12.399 €,Gasolina,11.2019,13.023 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 SLE 2WD,21.799 €,Gasolina,07.2020,13.126 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Dacia Sandero III, ","Dacia Sandero III, ",1.0 TCe Stepway Comfort,16.999 €,Gasolina,10.2022,13.175 km,91 CV / 67 kW,5,Cambio tipo automático,Naranja
"Volkswagen Golf I, ","Volkswagen Golf I, ",1.5 TSI ACT Advance,,Gasolina,06.2020,13.664 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Skoda Kodiaq, ","Skoda Kodiaq, ",1.5 TSI ACT Style,32.799 €,Gasolina,11.2021,13.613 km,150 CV / 110 kW,5,Cambio tipo automático,Beige
"Dacia Sandero II, ","Dacia Sandero II, ",1.0 SCe Stepway Essential,10.899 €,Gasolina,12.2018,14.113 km,73 CV / 54 kW,5,Cambio tipo manual,Blanco
"Toyota Corolla, ","Toyota Corolla, ",2.0 Hybrid Feel!,23.599 €,Híbrido,05.2019,13.851 km,152 CV / 112 kW,5,Cambio tipo automático,Blanco
"Subaru Trezia, ","Subaru Trezia, ",1.4 Diesel Limited ,9.199 €,Diésel,07.2012,14.432 km,90 CV / 66 kW,5,Cambio tipo manual,Plata
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway,10.299 €,Gasolina,05.2017,14.281 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.0 TSI Advance,15.299 €,Gasolina,04.2019,14.521 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",PureTech Shine,15.999 €,Gasolina,05.2021,14.858 km,110 CV / 81 kW,5,Cambio tipo manual,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active Pack,15.199 €,Gasolina,03.2021,14.859 km,75 CV / 55 kW,5,Cambio tipo manual,Amarillo
"BMW Serie 1, ","BMW Serie 1, ",118i,23.399 €,Gasolina,10.2019,14.914 km,135 CV / 100 kW,5,Cambio tipo automático,Blanco
"Toyota Corolla, ","Toyota Corolla, ",1.8 Hybrid Active Plus,23.599 €,Híbrido,04.2022,15.526 km,122 CV / 90 kW,5,Cambio tipo automático,Azul
"Citroen C-Elysée, ","Citroen C-Elysée, ",1.2 PureTech Shine,11.799 €,Gasolina,07.2019,15.082 km,82 CV / 60 kW,4,Cambio tipo manual,Negro
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200,25.099 €,Gasolina,08.2017,15.702 km,155 CV / 115 kW,4,Cambio tipo manual,Blanco
"Dacia Duster, ","Dacia Duster, ",1.2 TCe Laureate 4x2,13.899 €,Gasolina,11.2017,15.774 km,125 CV / 92 kW,5,Cambio tipo manual,Azul
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 T-GDI Hybrid Tekno Sky,34.099 €,Híbrido,04.2021,15.794 km,179 CV / 132 kW,5,Cambio tipo automático,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active,14.599 €,Gasolina,02.2021,15.856 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Fiat 500X, ","Fiat 500X, ",1.3 Firefly Sport,24.599 €,Gasolina,06.2022,16.497 km,151 CV / 111 kW,5,Cambio tipo automático,Gris
"Seat Arona, ","Seat Arona, ",1.6 TDI Style Edition,18.599 €,Diésel,06.2019,16.767 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Fiat Panda, ","Fiat Panda, ",1.0 Mild-Hybrid Sport,12.899 €,Gasolina,08.2021,16.974 km,70 CV / 51 kW,5,Cambio tipo manual,Gris
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Origins,15.999 €,Gasolina,01.2020,17.327 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Renault Twingo, ","Renault Twingo, ",0.9 TCe Energy Zen,12.199 €,Gasolina,09.2019,17.413 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Kia Sportage, ","Kia Sportage, ",1.6 GDI Drive 2WD,16.099 €,Gasolina,06.2017,17.497 km,132 CV / 97 kW,5,Cambio tipo manual,Blanco
"Hyundai i30, ","Hyundai i30, ",1.5 T-GDI Mild-Hybrid N Line,20.199 €,Gasolina,12.2020,17.557 km,159 CV / 117 kW,5,Cambio tipo manual,Rojo
"Ford Puma, ","Ford Puma, ",1.0 EcoBoost Mild-Hybrid Titanium Design,21.999 €,Híbrido,05.2022,17.566 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.5 TSI ACT Advance,19.499 €,Gasolina,12.2019,17.710 km,131 CV / 96 kW,,Cambio tipo manual,Azul
"Kia cee'd, ","Kia cee'd, ",1.6 CRDi Mild-Hybrid diesel GT Line,23.899 €,Híbrido,04.2021,17.858 km,136 CV / 100 kW,5,Cambio tipo automático,Negro
"Fiat Tipo, ","Fiat Tipo, ",1.4 Lounge,11.899 €,Gasolina,04.2018,17.864 km,95 CV / 70 kW,4,Cambio tipo manual,Gris
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 CRDi Klass,21.999 €,Diésel,12.2020,18.049 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway,10.299 €,Gasolina,05.2017,14.281 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Subaru Trezia, ","Subaru Trezia, ",1.4 Diesel Limited ,9.199 €,Diésel,07.2012,14.432 km,90 CV / 66 kW,5,Cambio tipo manual,Plata
"Kia Picanto, ","Kia Picanto, ",1.0 CVVT Eco-Dynamics Concept,10.099 €,Gasolina,04.2019,17.867 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"Volkswagen Polo, ","Volkswagen Polo, ",1.0 TSI Advance,15.299 €,Gasolina,04.2019,14.521 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Citroen C 3, ","Citroen C 3, ",PureTech Shine,15.999 €,Gasolina,05.2021,14.858 km,110 CV / 81 kW,5,Cambio tipo manual,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active Pack,15.199 €,Gasolina,03.2021,14.859 km,75 CV / 55 kW,5,Cambio tipo manual,Amarillo
"BMW Serie 1, ","BMW Serie 1, ",118i,23.399 €,Gasolina,10.2019,14.914 km,135 CV / 100 kW,5,Cambio tipo automático,Blanco
"Citroen C-Elysée, ","Citroen C-Elysée, ",1.2 PureTech Shine,11.799 €,Gasolina,07.2019,15.082 km,82 CV / 60 kW,4,Cambio tipo manual,Negro
"Toyota Corolla, ","Toyota Corolla, ",1.8 Hybrid Active Plus,23.599 €,Híbrido,04.2022,15.526 km,122 CV / 90 kW,5,Cambio tipo automático,Azul
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200,25.099 €,Gasolina,08.2017,15.702 km,155 CV / 115 kW,4,Cambio tipo manual,Blanco
"Dacia Duster, ","Dacia Duster, ",1.2 TCe Laureate 4x2,13.899 €,Gasolina,11.2017,15.774 km,125 CV / 92 kW,5,Cambio tipo manual,Azul
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 T-GDI Hybrid Tekno Sky,34.099 €,Híbrido,04.2021,15.794 km,179 CV / 132 kW,5,Cambio tipo automático,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Active,14.599 €,Gasolina,02.2021,15.856 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Fiat 500X, ","Fiat 500X, ",1.3 Firefly Sport,24.599 €,Gasolina,06.2022,16.497 km,151 CV / 111 kW,5,Cambio tipo automático,Gris
"Seat Arona, ","Seat Arona, ",1.6 TDI Style Edition,18.599 €,Diésel,06.2019,16.767 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Fiat Panda, ","Fiat Panda, ",1.0 Mild-Hybrid Sport,12.899 €,Gasolina,08.2021,16.974 km,70 CV / 51 kW,5,Cambio tipo manual,Gris
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Origins,15.999 €,Gasolina,01.2020,17.327 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Renault Twingo, ","Renault Twingo, ",0.9 TCe Energy Zen,12.199 €,Gasolina,09.2019,17.413 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Hyundai i30, ","Hyundai i30, ",1.5 T-GDI Mild-Hybrid N Line,20.199 €,Gasolina,12.2020,17.557 km,159 CV / 117 kW,5,Cambio tipo manual,Rojo
"Kia Sportage, ","Kia Sportage, ",1.6 GDI Drive 2WD,16.099 €,Gasolina,06.2017,17.497 km,132 CV / 97 kW,5,Cambio tipo manual,Blanco
"Ford Puma, ","Ford Puma, ",1.0 EcoBoost Mild-Hybrid Titanium Design,21.999 €,Híbrido,05.2022,17.566 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.5 TSI ACT Advance,19.499 €,Gasolina,12.2019,17.710 km,131 CV / 96 kW,,Cambio tipo manual,Azul
"Fiat Tipo, ","Fiat Tipo, ",1.4 Lounge,11.899 €,Gasolina,04.2018,17.864 km,95 CV / 70 kW,4,Cambio tipo manual,Gris
"Kia cee'd, ","Kia cee'd, ",1.6 CRDi Mild-Hybrid diesel GT Line,23.899 €,Híbrido,04.2021,17.858 km,136 CV / 100 kW,5,Cambio tipo automático,Negro
"Kia Picanto, ","Kia Picanto, ",1.0 CVVT Eco-Dynamics Concept,10.099 €,Gasolina,04.2019,17.867 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 CRDi Klass,21.999 €,Diésel,12.2020,18.049 km,116 CV / 85 kW,5,Cambio tipo manual,Blanco
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost ST-Line,14.899 €,Gasolina,09.2017,18.181 km,125 CV / 92 kW,5,Cambio tipo manual,Rojo
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Reference,13.299 €,Gasolina,07.2019,18.318 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Seat Arona, ","Seat Arona, ",1.0 TSI Ecomotive Reference,14.699 €,Gasolina,11.2019,18.331 km,95 CV / 70 kW,5,Cambio tipo manual,Rojo
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Laureate,6.999 €,Gasolina,03.2013,18.390 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Hyundai i30, ","Hyundai i30, ",2.0 T-GDI N,30.999 €,Gasolina,07.2022,18.413 km,250 CV / 184 kW,5,Cambio tipo manual,Azul
"Fiat 500C, ","Fiat 500C, ",1.0 Mild-Hybrid Connect,16.299 €,Gasolina,06.2021,18.499 km,70 CV / 51 kW,2,Cambio tipo manual,Blanco
"Fiat Panda, ","Fiat Panda, ",1.2 Lounge,10.599 €,Gasolina,07.2019,18.520 km,70 CV / 51 kW,5,Cambio tipo manual,Gris
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost ST-Line,19.899 €,Gasolina,06.2019,18.607 km,125 CV / 92 kW,5,Cambio tipo manual,Azul
"Kia Rio, ","Kia Rio, ",1.2 Drive,,Gasolina,08.2020,18.789 km,84 CV / 62 kW,5,Cambio tipo manual,Blanco
"Renault Megane, ","Renault Megane, ",1.5 Blue dCi Zen,19.199 €,Diésel,10.2020,18.975 km,116 CV / 85 kW,5,Cambio tipo automático,Gris
"Toyota Yaris, ","Toyota Yaris, ",1.5 Active,12.199 €,Gasolina,08.2017,18.866 km,110 CV / 82 kW,5,Cambio tipo manual,Gris
"Renault Clio, ","Renault Clio, ",1.0 TCe Zen,15.399 €,Gasolina,08.2020,19.516 km,101 CV / 74 kW,5,Cambio tipo manual,Naranja
"Hyundai i30, ","Hyundai i30, ",2.0 T-GDI N Performance,33.999 €,Gasolina,11.2021,19.619 km,280 CV / 206 kW,5,Cambio tipo manual,Negro
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,9.999 €,Gasolina,05.2016,19.714 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Peugeot 108, ","Peugeot 108, ",1.0 VTi TOP Allure,11.799 €,Gasolina,12.2018,19.930 km,72 CV / 53 kW,5,Cambio tipo automático,Blanco
"Ford Tourneo Courier, ","Ford Tourneo Courier, ",1.0 Trend,14.699 €,Gasolina,07.2017,20.042 km,100 CV / 74 kW,5,Cambio tipo manual,Azul
"Seat Arona, ","Seat Arona, ",1.0 TSI Reference,15.499 €,Gasolina,10.2020,20.079 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Toyota Yaris, ","Toyota Yaris, ",1.5 Hybrid Active,16.299 €,Híbrido,02.2020,20.122 km,75 CV / 54 kW,5,Cambio tipo automático,Rojo
"Toyota Yaris, ","Toyota Yaris, ",1.5 Dual VVT-iE Active,13.099 €,Gasolina,01.2018,20.274 km,110 CV / 82 kW,5,Cambio tipo manual,Plata
"Nissan Qashqai, ","Nissan Qashqai, ",1.7 dCi N-Connecta,22.299 €,Diésel,10.2019,20.356 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Renault Arkana, ","Renault Arkana, ",1.3 TCe Intens Microhíbrido,24.599 €,Gasolina,05.2021,20.398 km,140 CV / 103 kW,5,Cambio tipo automático,Blanco
"Kia Sportage, ","Kia Sportage, ",1.7 CRDi Drive 2WD,20.999 €,Diésel,06.2017,20.435 km,140 CV / 104 kW,5,Cambio tipo automático,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.6 Blue-HDi Style,15.899 €,Diésel,05.2018,20.578 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Mercedes-Benz Clase B, ","Mercedes-Benz Clase B, ",B 180 d Urban,20.599 €,Diésel,06.2018,20.820 km,110 CV / 80 kW,5,Cambio tipo automático,Negro
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.6 e-HDi ETG Feel,12.099 €,Diésel,10.2014,20.843 km,92 CV / 68 kW,5,Cambio tipo automático,Marrón
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost Active,18.999 €,Gasolina,07.2020,20.882 km,125 CV / 92 kW,5,Cambio tipo manual,Plata
"Nissan Micra, ","Nissan Micra, ",1.5 dCi Acenta,14.199 €,Diésel,11.2017,21.005 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Renault Clio, ","Renault Clio, ",1.6 Hybrid E-Tech Zen,21.999 €,Híbrido,03.2022,21.119 km,91 CV / 67 kW,5,Cambio tipo automático,Rojo
