Marca,Modelo,Version,Precio,Combustible,Antiguedad,Kms_desde,Kms_hasta,Potencia,Cambio,Vehiculo,Url_foto,categoria,Caracteristicas,Grupo,Puede_comprarse,Plazas,Estado,Centimetros_cubicos
Toyota,Rav 4,2.5l Advance,545.0,HYBRID,2019-01-01,30000.0,80000.0,218,AUTOMATIC,Toyota Rav 4,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/6408b46f66c6204ac8a91d55/vehicle-images/64930132892a0a511ff8d46b_2023_06_21_15_54_58.png,D-SUV,,2,True,5,OPPORTUNITY,2487.0
BMW,Serie 1,116d,445.0,DIESEL,2018-01-01,30000.0,100000.0,116,MANUAL,BMW Serie 1,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/602bcb0d1e756900a40182e8/vehicle-images/62438334dd5d82abf4c6f343_2022_03_30_00_07_48.png,Compacto,,1,True,5,OPPORTUNITY,1500.0
Hyundai,Tucson,1.6 CRDi,449.0,DIESEL,2019-01-01,40000.0,100000.0,116,MANUAL,Hyundai Tucson,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/62011dee1fba0b008d1b9b47/vehicle-images/6290aa845200473c1b6a56d1_2022_05_27_12_40_04.png,C-SUV,,1,True,5,OPPORTUNITY,1600.0
Volkswagen,Tiguan,TDI Advance DSG,499.0,DIESEL,2019-01-01,30000.0,95000.0,150,AUTOMATIC,Volkswagen Tiguan,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fe9adfa60e69a00a4ff5fed/vehicle-images/6254338929f39aa1e928094e_2022_04_11_15_56_25.png,C-SUV,,1,True,5,OPPORTUNITY,2000.0
Ford,Puma,Titanium,415.0,DIESEL,2021-01-01,20000.0,45000.0,120,MANUAL,Ford Puma,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/6491b65b940139710c1cff8c/vehicle-images/6491b872df04a2592e8c0e3b_2023_06_20_16_32_18.png,Utilitario,,1,True,5,OPPORTUNITY,1499.0
Nissan,Qashqai,1.5 dCi N-Connecta,425.0,DIESEL,2018-01-01,0.0,0.0,110,MANUAL,Nissan Qashqai,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5f3a56b7ae2c8000aa805225/vehicle-images/62501ff0c77d202aeed3ee64_2022_04_08_13_43_44.png,C-SUV,"130 Cv,5 Plazas,Manual,Diesel,Blanco",1,True,5,OPPORTUNITY,1500.0
Volkswagen,Golf,1.6 TDI Edition,435.0,DIESEL,2016-01-01,50000.0,80000.0,115,MANUAL,Volkswagen Golf,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5c89274eca7096002702addd/vehicle-images/6243825cdd5d82abf4c6f21d_2022_03_30_00_04_12.png,Compacto,"115 Cv,5 Plazas,Manual,Diesel,Blanco,Seminuevo",1,True,5,OPPORTUNITY,1600.0
Peugeot,5008,1.6 PureTech Allure,549.0,GAS,2019-01-01,40000.0,100000.0,180,AUTOMATIC,Peugeot 5008,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/61792548f6c087008dec2278/vehicle-images/62d66e785c316601493e7a95_2022_07_19_10_42_32.png,D-SUV,,1,True,7,OPPORTUNITY,1598.0
Kia,Niro,1.6GDi Hibrido Drive,419.0,HYBRID,2018-01-01,20000.0,1000000.0,141,AUTOMATIC,Kia Niro,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fc7625ba8124200a409b371/vehicle-images/6256ee5a843b55d362222ef8_2022_04_13_17_38_02.png,C-SUV,"Diesel,144 Cv,5 Plazas,Automatico,Rojo Blanco",1,True,5,OPPORTUNITY,1580.0
Volkswagen,Arteon,2.0 TDI  DSG,529.0,DIESEL,2018-01-01,90000.0,130000.0,150,AUTOMATIC,Volkswagen Arteon,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/602ce66303fb6c00a0e0df4f/vehicle-images/6362a00fe6988dd395fccc31_2022_11_02_17_51_27.png,Berlian,"150 Cv,5 Plazas,Manual,Diesel,Negro",1,True,5,OPPORTUNITY,2000.0
